timestamp,x_coordinate,confidence
20250718-162015,155,0.9266774654388428
20250718-162046,198,0.9187703132629395
20250718-162115,0,0.9357200860977173
20250718-162133,0,0.9300457239151001
20250718-162151,0,0.9527593851089478
20250718-162209,0,0.9538589119911194
20250718-162226,0,0.9479658007621765
20250718-162244,0,0.952569842338562
20250718-162302,362,0.9331231117248535
20250718-162320,265,0.929088294506073
20250718-162338,250,0.9337959289550781
20250718-162357,254,0.9415838122367859
20250718-162415,267,0.9366056323051453
20250718-162433,242,0.9413113594055176
20250718-162450,279,0.9195836782455444
